# SPOT, PRICE, DELTA
2.820820820820820884e+01,1.179179179179179116e+01,-1.000000000000000000e+00
2.824824824824824887e+01,1.175175175175175113e+01,-1.000000000000000000e+00
2.828828828828828890e+01,1.171171171171171110e+01,-1.000000000000000000e+00
2.832832832832832892e+01,1.167167167167167108e+01,-1.000000000000000000e+00
2.836836836836836895e+01,1.163163163163163105e+01,-1.000000000000000000e+00
2.840840840840840897e+01,1.159159159159159103e+01,-1.000000000000000000e+00
2.844844844844844900e+01,1.155155155155155100e+01,-1.000000000000000000e+00
2.848848848848848903e+01,1.151151151151151097e+01,-1.000000000000000000e+00
2.852852852852852905e+01,1.147147147147147095e+01,-1.000000000000000000e+00
2.856856856856856908e+01,1.143143143143143092e+01,-1.000000000000000000e+00
2.860860860860860910e+01,1.139139139139139090e+01,-1.000000000000000000e+00
2.864864864864864913e+01,1.135135135135135087e+01,-1.000000000000000000e+00
2.868868868868868915e+01,1.131131131131131085e+01,-1.000000000000000000e+00
2.872872872872872918e+01,1.127127127127127082e+01,-1.000000000000000000e+00
2.876876876876876921e+01,1.123123123123123079e+01,-1.000000000000000000e+00
2.880880880880880923e+01,1.119119119119119077e+01,-1.000000000000000000e+00
2.884884884884884926e+01,1.115115115115115074e+01,-1.000000000000000000e+00
2.888888888888888928e+01,1.111111111111111072e+01,-1.000000000000000000e+00
2.892892892892892931e+01,1.107107107107107069e+01,-1.000000000000000000e+00
2.896896896896896934e+01,1.103103103103103066e+01,-1.000000000000000000e+00
2.900900900900900936e+01,1.099099099099099064e+01,-1.000000000000000000e+00
2.904904904904904939e+01,1.095095095095095061e+01,-1.000000000000000000e+00
2.908908908908908941e+01,1.091091091091091059e+01,-1.000000000000000000e+00
2.912912912912912944e+01,1.087087087087087056e+01,-1.000000000000000000e+00
2.916916916916916946e+01,1.083083083083083054e+01,-1.000000000000000000e+00
2.920920920920920949e+01,1.079079079079079051e+01,-1.000000000000000000e+00
2.924924924924924952e+01,1.075075075075075048e+01,-1.000000000000000000e+00
2.928928928928928954e+01,1.071071071071071046e+01,-1.000000000000000000e+00
2.932932932932932957e+01,1.067067067067067043e+01,-1.000000000000000000e+00
2.936936936936936959e+01,1.063063063063063041e+01,-1.000000000000000000e+00
2.940940940940940962e+01,1.059059059059059038e+01,-1.000000000000000000e+00
2.944944944944944965e+01,1.055055055055055035e+01,-1.000000000000000000e+00
2.948948948948948967e+01,1.051051051051051033e+01,-1.000000000000000000e+00
2.952952952952952970e+01,1.047047047047047030e+01,-1.000000000000000000e+00
2.956956956956956972e+01,1.043043043043043028e+01,-1.000000000000000000e+00
2.960960960960960975e+01,1.039039039039039025e+01,-1.000000000000000000e+00
2.964964964964964977e+01,1.035035035035035023e+01,-1.000000000000000000e+00
2.968968968968968980e+01,1.031031031031031020e+01,-1.000000000000000000e+00
2.972972972972972983e+01,1.027027027027027017e+01,-1.000000000000000000e+00
2.976976976976976985e+01,1.023023023023023015e+01,-1.000000000000000000e+00
2.980980980980980988e+01,1.019019019019019012e+01,-1.000000000000000000e+00
2.984984984984984990e+01,1.015015015015015010e+01,-1.000000000000000000e+00
2.988988988988988993e+01,1.011011011011011007e+01,-1.000000000000000000e+00
2.992992992992992995e+01,1.007007007007007005e+01,-1.000000000000000000e+00
2.996996996996996998e+01,1.003003003003003002e+01,-1.000000000000000000e+00
3.001001001001001001e+01,9.989989989989989994e+00,-1.000000000000000000e+00
3.005005005005005003e+01,9.949949949949949968e+00,-1.000000000000000000e+00
3.009009009009009006e+01,9.909909909909909942e+00,-1.000000000000000000e+00
3.013013013013013008e+01,9.869869869869869916e+00,-1.000000000000000000e+00
3.017017017017017011e+01,9.829829829829829890e+00,-1.000000000000000000e+00
3.021021021021021014e+01,9.789789789789789864e+00,-1.000000000000000000e+00
3.025025025025025016e+01,9.749749749749749839e+00,-1.000000000000000000e+00
3.029029029029029019e+01,9.709709709709709813e+00,-1.000000000000000000e+00
3.033033033033033021e+01,9.669669669669669787e+00,-1.000000000000000000e+00
3.037037037037037024e+01,9.629629629629629761e+00,-1.000000000000000000e+00
3.041041041041041026e+01,9.589589589589589735e+00,-1.000000000000000000e+00
3.045045045045045029e+01,9.549549549549549710e+00,-1.000000000000000000e+00
3.049049049049049032e+01,9.509509509509509684e+00,-1.000000000000000000e+00
3.053053053053053034e+01,9.469469469469469658e+00,-1.000000000000000000e+00
3.057057057057057037e+01,9.429429429429429632e+00,-1.000000000000000000e+00
3.061061061061061039e+01,9.389389389389389606e+00,-1.000000000000000000e+00
3.065065065065065042e+01,9.349349349349349581e+00,-1.000000000000000000e+00
3.069069069069069045e+01,9.309309309309309555e+00,-1.000000000000000000e+00
3.073073073073073047e+01,9.269269269269269529e+00,-1.000000000000000000e+00
3.077077077077077050e+01,9.229229229229229503e+00,-1.000000000000000000e+00
3.081081081081081052e+01,9.189189189189189477e+00,-1.000000000000000000e+00
3.085085085085085055e+01,9.149149149149149451e+00,-1.000000000000000000e+00
3.089089089089089057e+01,9.109109109109109426e+00,-1.000000000000000000e+00
3.093093093093093060e+01,9.069069069069069400e+00,-1.000000000000000000e+00
3.097097097097097063e+01,9.029029029029029374e+00,-1.000000000000000000e+00
3.101101101101101065e+01,8.988988988988989348e+00,-1.000000000000000000e+00
3.105105105105105068e+01,8.948948948948949322e+00,-1.000000000000000000e+00
3.109109109109109070e+01,8.908908908908909297e+00,-1.000000000000000000e+00
3.113113113113113073e+01,8.868868868868869271e+00,-1.000000000000000000e+00
3.117117117117117076e+01,8.828828828828829245e+00,-1.000000000000000000e+00
3.121121121121121078e+01,8.788788788788789219e+00,-1.000000000000000000e+00
3.125125125125125081e+01,8.748748748748749193e+00,-1.000000000000000000e+00
3.129129129129129083e+01,8.708708708708709167e+00,-1.000000000000000000e+00
3.133133133133133086e+01,8.668668668668669142e+00,-1.000000000000000000e+00
3.137137137137137088e+01,8.628628628628629116e+00,-1.000000000000000000e+00
3.141141141141141091e+01,8.588588588588589090e+00,-1.000000000000000000e+00
3.145145145145145094e+01,8.548548548548549064e+00,-1.000000000000000000e+00
3.149149149149149096e+01,8.508508508508509038e+00,-1.000000000000000000e+00
3.153153153153153099e+01,8.468468468468469013e+00,-1.000000000000000000e+00
3.157157157157157101e+01,8.428428428428428987e+00,-1.000000000000000000e+00
3.161161161161161104e+01,8.388388388388388961e+00,-1.000000000000000000e+00
3.165165165165165106e+01,8.348348348348348935e+00,-1.000000000000000000e+00
3.169169169169169109e+01,8.308308308308308909e+00,-1.000000000000000000e+00
3.173173173173173112e+01,8.268268268268268884e+00,-1.000000000000000000e+00
3.177177177177177114e+01,8.228228228228228858e+00,-1.000000000000000000e+00
3.181181181181181117e+01,8.188188188188188832e+00,-1.000000000000000000e+00
3.185185185185185119e+01,8.148148148148148806e+00,-1.000000000000000000e+00
3.189189189189189122e+01,8.108108108108108780e+00,-1.000000000000000000e+00
3.193193193193193125e+01,8.068068068068068754e+00,-1.000000000000000000e+00
3.197197197197197127e+01,8.028028028028028729e+00,-1.000000000000000000e+00
3.201201201201200774e+01,7.987987987987992256e+00,-1.000000000000000000e+00
3.205205205205204777e+01,7.947947947947952230e+00,-1.000000000000000000e+00
3.209209209209208780e+01,7.907907907907912204e+00,-1.000000000000000000e+00
3.213213213213212782e+01,7.867867867867872178e+00,-1.000000000000000000e+00
3.217217217217216785e+01,7.827827827827832152e+00,-1.000000000000000000e+00
3.221221221221220787e+01,7.787787787787792126e+00,-1.000000000000000000e+00
3.225225225225224790e+01,7.747747747747752101e+00,-1.000000000000000000e+00
3.229229229229228793e+01,7.707707707707712075e+00,-1.000000000000000000e+00
3.233233233233232795e+01,7.667667667667672049e+00,-1.000000000000000000e+00
3.237237237237236798e+01,7.627627627627632023e+00,-1.000000000000000000e+00
3.241241241241240800e+01,7.587587587587591997e+00,-1.000000000000000000e+00
3.245245245245244803e+01,7.547547547547551972e+00,-1.000000000000000000e+00
3.249249249249248805e+01,7.507507507507511946e+00,-1.000000000000000000e+00
3.253253253253252808e+01,7.467467467467471920e+00,-1.000000000000000000e+00
3.257257257257256811e+01,7.427427427427431894e+00,-1.000000000000000000e+00
3.261261261261260813e+01,7.387387387387391868e+00,-1.000000000000000000e+00
3.265265265265264816e+01,7.347347347347351842e+00,-1.000000000000000000e+00
3.269269269269268818e+01,7.307307307307311817e+00,-1.000000000000000000e+00
3.273273273273272821e+01,7.267267267267271791e+00,-1.000000000000000000e+00
3.277277277277276823e+01,7.227227227227231765e+00,-1.000000000000000000e+00
3.281281281281280826e+01,7.187187187187191739e+00,-1.000000000000000000e+00
3.285285285285285539e+01,7.147147147147144608e+00,-9.997494024266002643e-01
3.289289289289289542e+01,7.107107107107104582e+00,-9.976342190654811093e-01
3.293293293293293544e+01,7.067067067067064556e+00,-9.953663876251443998e-01
3.297297297297297547e+01,7.027027027027024531e+00,-9.930393028962550828e-01
3.301301301301301550e+01,6.987440309438906816e+00,-9.893397327957174081e-01
3.305305305305305552e+01,6.947993706617856979e+00,-9.848819134879149839e-01
3.309309309309309555e+01,6.908568394881319463e+00,-9.802746764414913550e-01
3.313313313313313557e+01,6.869375039842910979e+00,-9.760551602338718435e-01
3.317317317317317560e+01,6.830485261118199425e+00,-9.717745567427975573e-01
3.321321321321321562e+01,6.791644082338666344e+00,-9.673277357643471630e-01
3.325325325325325565e+01,6.752877417517530567e+00,-9.629562415382721952e-01
3.329329329329329568e+01,6.714500052329797519e+00,-9.588455923057822572e-01
3.333333333333333570e+01,6.676243627102318001e+00,-9.544745990082758036e-01
3.337337337337337573e+01,6.638036018095754720e+00,-9.499984423251612853e-01
3.341341341341341575e+01,6.600105565614109437e+00,-9.458979452863024440e-01
3.345345345345345578e+01,6.562378948740219542e+00,-9.416766897130288694e-01
3.349349349349349581e+01,6.524723856988377868e+00,-9.373468094016178531e-01
3.353353353353353583e+01,6.487199563000949354e+00,-9.331570508738066261e-01
3.357357357357357586e+01,6.449993544144980717e+00,-9.290305888318234340e-01
3.361361361361361588e+01,6.412916892128129653e+00,-9.247589695870046533e-01
3.365365365365365591e+01,6.375914390543393040e+00,-9.204425592806168011e-01
3.369369369369369593e+01,6.339178180230184090e+00,-9.163931105272841160e-01
